[1]SecuCode|[2]TradingDay|[3]Weight
600745.SSE|20191231|0.727000
000066.SZE|20191231|0.637000
002463.SZE|20191231|0.625000
002384.SZE|20191231|0.607000
601099.SSE|20191231|0.602000
601128.SSE|20191231|0.582000
600584.SSE|20191231|0.575000
300014.SZE|20191231|0.567000
600426.SSE|20191231|0.527000
300383.SZE|20191231|0.505000
002049.SZE|20191231|0.503000
002371.SZE|20191231|0.503000
600536.SSE|20191231|0.496000
002439.SZE|20191231|0.495000
300207.SZE|20191231|0.493000
600201.SSE|20191231|0.492000
002812.SZE|20191231|0.474000
002340.SZE|20191231|0.471000
601872.SSE|20191231|0.467000
002465.SZE|20191231|0.466000
300012.SZE|20191231|0.461000
002129.SZE|20191231|0.460000
600763.SSE|20191231|0.460000
300253.SZE|20191231|0.458000
002065.SZE|20191231|0.450000
300088.SZE|20191231|0.443000
002127.SZE|20191231|0.437000
600739.SSE|20191231|0.435000
002273.SZE|20191231|0.425000
600801.SSE|20191231|0.420000
002821.SZE|20191231|0.419000
002353.SZE|20191231|0.413000
002180.SZE|20191231|0.408000
002797.SZE|20191231|0.406000
300315.SZE|20191231|0.397000
000050.SZE|20191231|0.389000
601233.SSE|20191231|0.387000
000988.SZE|20191231|0.381000
000401.SZE|20191231|0.374000
000009.SZE|20191231|0.372000
000750.SZE|20191231|0.367000
600673.SSE|20191231|0.360000
600885.SSE|20191231|0.359000
300285.SZE|20191231|0.359000
000623.SZE|20191231|0.359000
002078.SZE|20191231|0.357000
600298.SSE|20191231|0.354000
002268.SZE|20191231|0.353000
300529.SZE|20191231|0.351000
600150.SSE|20191231|0.350000
002195.SZE|20191231|0.348000
002507.SZE|20191231|0.344000
600161.SSE|20191231|0.340000
002926.SZE|20191231|0.337000
600642.SSE|20191231|0.333000
603517.SSE|20191231|0.330000
002500.SZE|20191231|0.328000
600699.SSE|20191231|0.326000
002131.SZE|20191231|0.322000
300296.SZE|20191231|0.318000
300168.SZE|20191231|0.317000
000998.SZE|20191231|0.316000
000975.SZE|20191231|0.315000
600256.SSE|20191231|0.315000
002373.SZE|20191231|0.313000
002572.SZE|20191231|0.312000
600704.SSE|20191231|0.310000
600325.SSE|20191231|0.309000
600909.SSE|20191231|0.308000
601100.SSE|20191231|0.307000
601799.SSE|20191231|0.306000
600143.SSE|20191231|0.306000
000686.SZE|20191231|0.304000
002387.SZE|20191231|0.304000
600879.SSE|20191231|0.303000
603444.SSE|20191231|0.300000
600528.SSE|20191231|0.298000
600079.SSE|20191231|0.298000
600486.SSE|20191231|0.298000
002250.SZE|20191231|0.295000
601168.SSE|20191231|0.294000
600132.SSE|20191231|0.293000
601231.SSE|20191231|0.293000
002385.SZE|20191231|0.292000
600728.SSE|20191231|0.292000
002013.SZE|20191231|0.292000
000513.SZE|20191231|0.290000
000999.SZE|20191231|0.289000
600446.SSE|20191231|0.289000
002174.SZE|20191231|0.289000
002670.SZE|20191231|0.287000
002223.SZE|20191231|0.285000
600460.SSE|20191231|0.284000
600567.SSE|20191231|0.282000
002281.SZE|20191231|0.282000
002019.SZE|20191231|0.280000
600895.SSE|20191231|0.276000
603858.SSE|20191231|0.274000
002092.SZE|20191231|0.272000
000778.SZE|20191231|0.272000
000878.SZE|20191231|0.271000
000997.SZE|20191231|0.271000
002074.SZE|20191231|0.270000
002152.SZE|20191231|0.270000
300418.SZE|20191231|0.269000
600572.SSE|20191231|0.268000
000547.SZE|20191231|0.268000
002110.SZE|20191231|0.267000
600521.SSE|20191231|0.266000
600820.SSE|20191231|0.266000
600410.SSE|20191231|0.264000
600273.SSE|20191231|0.263000
300058.SZE|20191231|0.263000
600497.SSE|20191231|0.260000
300308.SZE|20191231|0.260000
000581.SZE|20191231|0.260000
603659.SSE|20191231|0.259000
600466.SSE|20191231|0.259000
600845.SSE|20191231|0.259000
603939.SSE|20191231|0.259000
601966.SSE|20191231|0.257000
002212.SZE|20191231|0.257000
600549.SSE|20191231|0.256000
002075.SZE|20191231|0.256000
300166.SZE|20191231|0.256000
603000.SSE|20191231|0.255000
600260.SSE|20191231|0.253000
601005.SSE|20191231|0.253000
600839.SSE|20191231|0.251000
000830.SZE|20191231|0.251000
000060.SZE|20191231|0.250000
300274.SZE|20191231|0.250000
300113.SZE|20191231|0.249000
000636.SZE|20191231|0.249000
600884.SSE|20191231|0.248000
600415.SSE|20191231|0.246000
002690.SZE|20191231|0.246000
600021.SSE|20191231|0.246000
000960.SZE|20191231|0.244000
000039.SZE|20191231|0.244000
601333.SSE|20191231|0.242000
600315.SSE|20191231|0.242000
300251.SZE|20191231|0.242000
600881.SSE|20191231|0.242000
002217.SZE|20191231|0.242000
300001.SZE|20191231|0.240000
600376.SSE|20191231|0.240000
601866.SSE|20191231|0.239000
600258.SSE|20191231|0.237000
600779.SSE|20191231|0.236000
600875.SSE|20191231|0.236000
002807.SZE|20191231|0.236000
300316.SZE|20191231|0.235000
002191.SZE|20191231|0.234000
600380.SSE|20191231|0.234000
000089.SZE|20191231|0.234000
600811.SSE|20191231|0.233000
600160.SSE|20191231|0.233000
600776.SSE|20191231|0.232000
600959.SSE|20191231|0.232000
603338.SSE|20191231|0.231000
600718.SSE|20191231|0.230000
000690.SZE|20191231|0.229000
600155.SSE|20191231|0.228000
300115.SZE|20191231|0.226000
000402.SZE|20191231|0.226000
002368.SZE|20191231|0.225000
000983.SZE|20191231|0.225000
600166.SSE|20191231|0.224000
600392.SSE|20191231|0.223000
300009.SZE|20191231|0.222000
600755.SSE|20191231|0.222000
603882.SSE|20191231|0.219000
600022.SSE|20191231|0.219000
600643.SSE|20191231|0.218000
600580.SSE|20191231|0.217000
000825.SZE|20191231|0.217000
600094.SSE|20191231|0.217000
002589.SZE|20191231|0.216000
600754.SSE|20191231|0.215000
600373.SSE|20191231|0.215000
000729.SZE|20191231|0.214000
000970.SZE|20191231|0.214000
600282.SSE|20191231|0.214000
002085.SZE|20191231|0.214000
600808.SSE|20191231|0.214000
600266.SSE|20191231|0.213000
600737.SSE|20191231|0.211000
300027.SZE|20191231|0.211000
600167.SSE|20191231|0.211000
002233.SZE|20191231|0.210000
600216.SSE|20191231|0.210000
000021.SZE|20191231|0.209000
600967.SSE|20191231|0.209000
300010.SZE|20191231|0.209000
002407.SZE|20191231|0.209000
002221.SZE|20191231|0.209000
603707.SSE|20191231|0.208000
600171.SSE|20191231|0.207000
603885.SSE|20191231|0.206000
000563.SZE|20191231|0.205000
600037.SSE|20191231|0.205000
600804.SSE|20191231|0.204000
600026.SSE|20191231|0.203000
601699.SSE|20191231|0.203000
600435.SSE|20191231|0.202000
600777.SSE|20191231|0.200000
601098.SSE|20191231|0.200000
600060.SSE|20191231|0.199000
600064.SSE|20191231|0.197000
000031.SZE|20191231|0.197000
601118.SSE|20191231|0.196000
603866.SSE|20191231|0.196000
002028.SZE|20191231|0.195000
002372.SZE|20191231|0.193000
002317.SZE|20191231|0.193000
000598.SZE|20191231|0.193000
600511.SSE|20191231|0.192000
603816.SSE|20191231|0.192000
300244.SZE|20191231|0.192000
600640.SSE|20191231|0.192000
600782.SSE|20191231|0.191000
002936.SZE|20191231|0.191000
000883.SZE|20191231|0.190000
002038.SZE|20191231|0.189000
002064.SZE|20191231|0.188000
000932.SZE|20191231|0.188000
000807.SZE|20191231|0.187000
600863.SSE|20191231|0.186000
601106.SSE|20191231|0.186000
603228.SSE|20191231|0.185000
002414.SZE|20191231|0.183000
603077.SSE|20191231|0.183000
300133.SZE|20191231|0.182000
002004.SZE|20191231|0.182000
600409.SSE|20191231|0.182000
601958.SSE|20191231|0.181000
600597.SSE|20191231|0.181000
002048.SZE|20191231|0.181000
002242.SZE|20191231|0.180000
601000.SSE|20191231|0.180000
002583.SZE|20191231|0.180000
002440.SZE|20191231|0.180000
603806.SSE|20191231|0.178000
300180.SZE|20191231|0.176000
000738.SZE|20191231|0.175000
601179.SSE|20191231|0.174000
600008.SSE|20191231|0.174000
000877.SZE|20191231|0.174000
300072.SZE|20191231|0.173000
000027.SZE|20191231|0.172000
300026.SZE|20191231|0.172000
000559.SZE|20191231|0.172000
601689.SSE|20191231|0.171000
000930.SZE|20191231|0.171000
603883.SSE|20191231|0.171000
600388.SSE|20191231|0.170000
600507.SSE|20191231|0.170000
600039.SSE|20191231|0.170000
600729.SSE|20191231|0.170000
600970.SSE|20191231|0.170000
000685.SZE|20191231|0.170000
002399.SZE|20191231|0.170000
600138.SSE|20191231|0.170000
600649.SSE|20191231|0.169000
300182.SZE|20191231|0.168000
600827.SSE|20191231|0.168000
601718.SSE|20191231|0.167000
600500.SSE|20191231|0.167000
600633.SSE|20191231|0.167000
600908.SSE|20191231|0.167000
000528.SZE|20191231|0.167000
601228.SSE|20191231|0.166000
000008.SZE|20191231|0.165000
002831.SZE|20191231|0.163000
000012.SZE|20191231|0.163000
600515.SSE|20191231|0.163000
600056.SSE|20191231|0.163000
000090.SZE|20191231|0.162000
600120.SSE|20191231|0.162000
600598.SSE|20191231|0.161000
600062.SSE|20191231|0.159000
000712.SZE|20191231|0.159000
000488.SZE|20191231|0.159000
002665.SZE|20191231|0.159000
600158.SSE|20191231|0.158000
000028.SZE|20191231|0.158000
601717.SSE|20191231|0.157000
601598.SSE|20191231|0.157000
002056.SZE|20191231|0.157000
600823.SSE|20191231|0.157000
600563.SSE|20191231|0.156000
600418.SSE|20191231|0.155000
002155.SZE|20191231|0.155000
000887.SZE|20191231|0.155000
600348.SSE|20191231|0.155000
000826.SZE|20191231|0.153000
000158.SZE|20191231|0.153000
000400.SZE|20191231|0.152000
002266.SZE|20191231|0.152000
002002.SZE|20191231|0.151000
601608.SSE|20191231|0.151000
600648.SSE|20191231|0.151000
002030.SZE|20191231|0.150000
600307.SSE|20191231|0.150000
300002.SZE|20191231|0.149000
002408.SZE|20191231|0.148000
600717.SSE|20191231|0.147000
000301.SZE|20191231|0.146000
601880.SSE|20191231|0.146000
002183.SZE|20191231|0.146000
600277.SSE|20191231|0.146000
002701.SZE|20191231|0.145000
000078.SZE|20191231|0.144000
600862.SSE|20191231|0.143000
600557.SSE|20191231|0.143000
002390.SZE|20191231|0.143000
002815.SZE|20191231|0.143000
000732.SZE|20191231|0.143000
000501.SZE|20191231|0.143000
002244.SZE|20191231|0.143000
000758.SZE|20191231|0.141000
000681.SZE|20191231|0.141000
002925.SZE|20191231|0.141000
002603.SZE|20191231|0.140000
000156.SZE|20191231|0.140000
002203.SZE|20191231|0.140000
002640.SZE|20191231|0.140000
300134.SZE|20191231|0.138000
002280.SZE|20191231|0.138000
600291.SSE|20191231|0.137000
300324.SZE|20191231|0.137000
000967.SZE|20191231|0.136000
600195.SSE|20191231|0.136000
000718.SZE|20191231|0.135000
002444.SZE|20191231|0.135000
601928.SSE|20191231|0.135000
000717.SZE|20191231|0.134000
002635.SZE|20191231|0.134000
600545.SSE|20191231|0.134000
600765.SSE|20191231|0.134000
002302.SZE|20191231|0.133000
600664.SSE|20191231|0.133000
002426.SZE|20191231|0.133000
600901.SSE|20191231|0.132000
002709.SZE|20191231|0.132000
600339.SSE|20191231|0.132000
601975.SSE|20191231|0.132000
000727.SZE|20191231|0.132000
000959.SZE|20191231|0.131000
603712.SSE|20191231|0.131000
600316.SSE|20191231|0.131000
000813.SZE|20191231|0.131000
601611.SSE|20191231|0.131000
600645.SSE|20191231|0.129000
601678.SSE|20191231|0.129000
000761.SZE|20191231|0.128000
600748.SSE|20191231|0.128000
002249.SZE|20191231|0.128000
600859.SSE|20191231|0.127000
603233.SSE|20191231|0.127000
600869.SSE|20191231|0.127000
600499.SSE|20191231|0.127000
600125.SSE|20191231|0.127000
600835.SSE|20191231|0.125000
002839.SZE|20191231|0.125000
600017.SSE|20191231|0.125000
000519.SZE|20191231|0.124000
000987.SZE|20191231|0.124000
600751.SSE|20191231|0.123000
600312.SSE|20191231|0.123000
000543.SZE|20191231|0.123000
600582.SSE|20191231|0.123000
600141.SSE|20191231|0.123000
600259.SSE|20191231|0.122000
002745.SZE|20191231|0.122000
600073.SSE|20191231|0.122000
600565.SSE|20191231|0.122000
600478.SSE|20191231|0.119000
000006.SZE|20191231|0.118000
601200.SSE|20191231|0.118000
002434.SZE|20191231|0.118000
002419.SZE|20191231|0.118000
002920.SZE|20191231|0.117000
002491.SZE|20191231|0.117000
002128.SZE|20191231|0.116000
600126.SSE|20191231|0.116000
600317.SSE|20191231|0.115000
002118.SZE|20191231|0.112000
002051.SZE|20191231|0.112000
002505.SZE|20191231|0.112000
603198.SSE|20191231|0.111000
002382.SZE|20191231|0.109000
300159.SZE|20191231|0.109000
002544.SZE|20191231|0.109000
002375.SZE|20191231|0.109000
000848.SZE|20191231|0.108000
600639.SSE|20191231|0.107000
600787.SSE|20191231|0.107000
002285.SZE|20191231|0.107000
601326.SSE|20191231|0.106000
000553.SZE|20191231|0.106000
002681.SZE|20191231|0.106000
002176.SZE|20191231|0.105000
300459.SZE|20191231|0.105000
601139.SSE|20191231|0.105000
603328.SSE|20191231|0.105000
000062.SZE|20191231|0.104000
603888.SSE|20191231|0.102000
600759.SSE|20191231|0.102000
002470.SZE|20191231|0.102000
601019.SSE|20191231|0.101000
603568.SSE|20191231|0.101000
600985.SSE|20191231|0.101000
000537.SZE|20191231|0.101000
000564.SZE|20191231|0.100000
300197.SZE|20191231|0.100000
603377.SSE|20191231|0.100000
300376.SZE|20191231|0.099000
300297.SZE|20191231|0.099000
603515.SSE|20191231|0.099000
002573.SZE|20191231|0.098000
600770.SSE|20191231|0.098000
002867.SZE|20191231|0.097000
002093.SZE|20191231|0.095000
600694.SSE|20191231|0.094000
600428.SSE|20191231|0.094000
600575.SSE|20191231|0.093000
601016.SSE|20191231|0.093000
002625.SZE|20191231|0.092000
600329.SSE|20191231|0.092000
000869.SZE|20191231|0.091000
002358.SZE|20191231|0.091000
000937.SZE|20191231|0.090000
603766.SSE|20191231|0.089000
000766.SZE|20191231|0.088000
000061.SZE|20191231|0.088000
002416.SZE|20191231|0.088000
600623.SSE|20191231|0.087000
000536.SZE|20191231|0.087000
600757.SSE|20191231|0.087000
300257.SZE|20191231|0.087000
000990.SZE|20191231|0.087000
002503.SZE|20191231|0.086000
601001.SSE|20191231|0.086000
002424.SZE|20191231|0.086000
600006.SSE|20191231|0.085000
002672.SZE|20191231|0.085000
000426.SZE|20191231|0.085000
002366.SZE|20191231|0.084000
000980.SZE|20191231|0.083000
600098.SSE|20191231|0.083000
000600.SZE|20191231|0.082000
