[1]SecuCode|[2]TradingDay|[3]Weight
601318.SSE|20191231|6.715000
600519.SSE|20191231|4.312000
600036.SSE|20191231|2.812000
000651.SZE|20191231|2.289000
601166.SSE|20191231|2.088000
000333.SZE|20191231|2.052000
600276.SSE|20191231|1.965000
000858.SZE|20191231|1.872000
600030.SSE|20191231|1.444000
600887.SSE|20191231|1.368000
000002.SZE|20191231|1.362000
600900.SSE|20191231|1.173000
000001.SZE|20191231|1.158000
600016.SSE|20191231|1.136000
601328.SSE|20191231|1.122000
600000.SSE|20191231|1.053000
601288.SSE|20191231|1.025000
601398.SSE|20191231|0.920000
600837.SSE|20191231|0.907000
300498.SZE|20191231|0.906000
002415.SZE|20191231|0.888000
601601.SSE|20191231|0.863000
601668.SSE|20191231|0.856000
002475.SZE|20191231|0.850000
600048.SSE|20191231|0.840000
600585.SSE|20191231|0.795000
000725.SZE|20191231|0.781000
600031.SSE|20191231|0.729000
601688.SSE|20191231|0.650000
600309.SSE|20191231|0.640000
603288.SSE|20191231|0.632000
601888.SSE|20191231|0.630000
300059.SZE|20191231|0.615000
000063.SZE|20191231|0.611000
601169.SSE|20191231|0.610000
600104.SSE|20191231|0.606000
601211.SSE|20191231|0.605000
002142.SZE|20191231|0.575000
601988.SSE|20191231|0.564000
002714.SZE|20191231|0.557000
000338.SZE|20191231|0.552000
600009.SSE|20191231|0.550000
600690.SSE|20191231|0.521000
601818.SSE|20191231|0.509000
601766.SSE|20191231|0.504000
600028.SSE|20191231|0.496000
603259.SSE|20191231|0.490000
601229.SSE|20191231|0.489000
600919.SSE|20191231|0.485000
002304.SZE|20191231|0.483000
601012.SSE|20191231|0.476000
002027.SZE|20191231|0.467000
000568.SZE|20191231|0.460000
601899.SSE|20191231|0.458000
001979.SZE|20191231|0.456000
000661.SZE|20191231|0.454000
000100.SZE|20191231|0.439000
601088.SSE|20191231|0.437000
601628.SSE|20191231|0.421000
601857.SSE|20191231|0.411000
600050.SSE|20191231|0.398000
002230.SZE|20191231|0.385000
600999.SSE|20191231|0.379000
601009.SSE|20191231|0.378000
600019.SSE|20191231|0.371000
600570.SSE|20191231|0.362000
300015.SZE|20191231|0.356000
600406.SSE|20191231|0.355000
601006.SSE|20191231|0.354000
601939.SSE|20191231|0.352000
601390.SSE|20191231|0.351000
601989.SSE|20191231|0.348000
600015.SSE|20191231|0.342000
601186.SSE|20191231|0.338000
000166.SZE|20191231|0.335000
000538.SZE|20191231|0.331000
002241.SZE|20191231|0.328000
600703.SSE|20191231|0.326000
000776.SZE|20191231|0.326000
002594.SZE|20191231|0.313000
000876.SZE|20191231|0.305000
601336.SSE|20191231|0.297000
600741.SSE|20191231|0.297000
002044.SZE|20191231|0.296000
300142.SZE|20191231|0.289000
603986.SSE|20191231|0.286000
600958.SSE|20191231|0.279000
600352.SSE|20191231|0.273000
002024.SZE|20191231|0.273000
601225.SSE|20191231|0.261000
002236.SZE|20191231|0.260000
601901.SSE|20191231|0.259000
600588.SSE|20191231|0.258000
300003.SZE|20191231|0.256000
300136.SZE|20191231|0.255000
601155.SSE|20191231|0.254000
000157.SZE|20191231|0.251000
600340.SSE|20191231|0.251000
002008.SZE|20191231|0.248000
600346.SSE|20191231|0.246000
600547.SSE|20191231|0.246000
600660.SSE|20191231|0.244000
601669.SSE|20191231|0.241000
601377.SSE|20191231|0.241000
300347.SZE|20191231|0.240000
600436.SSE|20191231|0.240000
002202.SZE|20191231|0.239000
002352.SZE|20191231|0.238000
601138.SSE|20191231|0.237000
600383.SSE|20191231|0.237000
000069.SZE|20191231|0.232000
300124.SZE|20191231|0.231000
600886.SSE|20191231|0.226000
601985.SSE|20191231|0.226000
600029.SSE|20191231|0.224000
002736.SZE|20191231|0.224000
603993.SSE|20191231|0.223000
600010.SSE|20191231|0.218000
002001.SZE|20191231|0.218000
002456.SZE|20191231|0.215000
002007.SZE|20191231|0.215000
601111.SSE|20191231|0.210000
000895.SZE|20191231|0.210000
601877.SSE|20191231|0.209000
601933.SSE|20191231|0.209000
601108.SSE|20191231|0.207000
002311.SZE|20191231|0.206000
002555.SZE|20191231|0.206000
603160.SSE|20191231|0.205000
000783.SZE|20191231|0.200000
600795.SSE|20191231|0.200000
002602.SZE|20191231|0.198000
002466.SZE|20191231|0.195000
300144.SZE|20191231|0.195000
600196.SSE|20191231|0.194000
600018.SSE|20191231|0.194000
002460.SZE|20191231|0.193000
600705.SSE|20191231|0.189000
600115.SSE|20191231|0.189000
600271.SSE|20191231|0.188000
000938.SZE|20191231|0.187000
600061.SSE|20191231|0.186000
000425.SZE|20191231|0.186000
601788.SSE|20191231|0.186000
600438.SSE|20191231|0.185000
603799.SSE|20191231|0.185000
600606.SSE|20191231|0.184000
603501.SSE|20191231|0.180000
600089.SSE|20191231|0.179000
601997.SSE|20191231|0.179000
600011.SSE|20191231|0.178000
600177.SSE|20191231|0.177000
002050.SZE|20191231|0.174000
601555.SSE|20191231|0.174000
600183.SSE|20191231|0.173000
300122.SZE|20191231|0.173000
600111.SSE|20191231|0.171000
600809.SSE|20191231|0.170000
002493.SZE|20191231|0.170000
002271.SZE|20191231|0.170000
300033.SZE|20191231|0.170000
300408.SZE|20191231|0.169000
601600.SSE|20191231|0.168000
002410.SZE|20191231|0.167000
002624.SZE|20191231|0.166000
600176.SSE|20191231|0.166000
000768.SZE|20191231|0.164000
600109.SSE|20191231|0.163000
002120.SZE|20191231|0.161000
603019.SSE|20191231|0.158000
600487.SSE|20191231|0.157000
000786.SZE|20191231|0.156000
601800.SSE|20191231|0.156000
000963.SZE|20191231|0.155000
601607.SSE|20191231|0.154000
002179.SZE|20191231|0.152000
600100.SSE|20191231|0.151000
601919.SSE|20191231|0.148000
600522.SSE|20191231|0.148000
002422.SZE|20191231|0.147000
601618.SSE|20191231|0.145000
600332.SSE|20191231|0.145000
600516.SSE|20191231|0.144000
600221.SSE|20191231|0.144000
000961.SZE|20191231|0.142000
000625.SZE|20191231|0.142000
600893.SSE|20191231|0.142000
600637.SSE|20191231|0.140000
600498.SSE|20191231|0.140000
601998.SSE|20191231|0.137000
600066.SSE|20191231|0.137000
600926.SSE|20191231|0.136000
000728.SZE|20191231|0.136000
300413.SZE|20191231|0.135000
300017.SZE|20191231|0.135000
600068.SSE|20191231|0.134000
601727.SSE|20191231|0.132000
600004.SSE|20191231|0.131000
601198.SSE|20191231|0.131000
600867.SSE|20191231|0.131000
603899.SSE|20191231|0.130000
600362.SSE|20191231|0.127000
600674.SSE|20191231|0.126000
002146.SZE|20191231|0.124000
002673.SZE|20191231|0.124000
601838.SSE|20191231|0.119000
000656.SZE|20191231|0.119000
600208.SSE|20191231|0.118000
600583.SSE|20191231|0.118000
000423.SZE|20191231|0.117000
