,[1]SecuCode,[2]TradingDay,[3]Weight,ZXF,NewWeight
0,601318.SSE,20191231,6.715,41,2.744176542705353
1,600519.SSE,20191231,4.312,36,3.10120209596219
2,600036.SSE,20191231,2.812,40,1.2065710432757142
3,000651.SZE,20191231,2.289,33,3.0560747663551404
4,601166.SSE,20191231,2.088,40,0.8959176167708717
5,000333.SZE,20191231,2.052,33,2.739652870493992
6,600276.SSE,20191231,1.965,35,1.9283611383709516
7,000858.SZE,20191231,1.872,36,1.3463474776533442
8,600030.SSE,20191231,1.444,41,0.5901103391908459
9,600887.SSE,20191231,1.368,36,0.9838693105928283
10,000002.SZE,20191231,1.362,42,1.9753169857630088
11,600900.SSE,20191231,1.173,20,1.777643058081057
12,000001.SZE,20191231,1.158,40,0.4968738506803972
13,600016.SSE,20191231,1.136,40,0.4874341056761064
14,601328.SSE,20191231,1.122,40,0.48142699521883053
15,600000.SSE,20191231,1.053,40,0.4518205222508275
16,601288.SSE,20191231,1.025,40,0.4398063013362756
17,601398.SSE,20191231,0.92,40,0.3947529729067059
18,600837.SSE,20191231,0.907,41,0.3706579485083776
19,300498.SZE,20191231,0.906,37,1.3666162130017183
20,002415.SZE,20191231,0.888,60,1.0778567712848968
21,601601.SSE,20191231,0.863,41,0.3526767470371884
22,601668.SSE,20191231,0.856,23,1.2971259220327618
23,002475.SZE,20191231,0.85,60,1.0317322698109934
24,600048.SSE,20191231,0.84,42,1.2182571718362167
25,600585.SSE,20191231,0.795,24,1.179052659141166
26,000725.SZE,20191231,0.781,60,0.9479798855557481
27,600031.SSE,20191231,0.729,26,1.1004202220397032
28,601688.SSE,20191231,0.65,41,0.2656313853698406
29,600309.SSE,20191231,0.64,22,0.9426342518440001
30,603288.SSE,20191231,0.632,36,0.45453611425048795
31,601888.SSE,20191231,0.63,32,0.9456804894535827
32,300059.SZE,20191231,0.615,41,0.2513281569268492
33,000063.SZE,20191231,0.611,61,0.9211085159194153
34,601169.SSE,20191231,0.61,40,0.2617383842098811
35,600104.SSE,20191231,0.606,30,0.9182148211652131
36,601211.SSE,20191231,0.605,41,0.24724152022885162
37,002142.SZE,20191231,0.575,40,0.2467206080666912
38,601988.SSE,20191231,0.564,40,0.24200073556454577
39,002714.SZE,20191231,0.557,37,0.8401823737769947
40,000338.SZE,20191231,0.552,30,0.8363936984871249
41,600009.SSE,20191231,0.55,50,0.8298795000919
42,600690.SSE,20191231,0.521,33,0.6955941255006676
43,601818.SSE,20191231,0.509,40,0.21840137305381882
44,601766.SSE,20191231,0.504,26,0.7607843510397949
45,600028.SSE,20191231,0.496,10,0.7423762589775008
46,603259.SSE,20191231,0.49,35,0.480863591756624
47,601229.SSE,20191231,0.489,40,0.20981978668628173
48,600919.SSE,20191231,0.485,40,0.2081034694127743
49,002304.SZE,20191231,0.483,36,0.34737491009966087
50,601012.SSE,20191231,0.476,27,0.7145220562723916
51,002027.SZE,20191231,0.467,63,0.6982915654467134
52,000568.SZE,20191231,0.46,36,0.3308332477139628
53,601899.SSE,20191231,0.458,12,0.6939450123532795
54,001979.SZE,20191231,0.456,42,0.6613396075682321
55,000661.SZE,20191231,0.454,35,0.44553483807654554
56,000100.SZE,20191231,0.439,60,0.532859372290619
57,601088.SSE,20191231,0.437,11,0.6476151776472651
58,601628.SSE,20191231,0.421,41,0.17204740498569676
59,601857.SSE,20191231,0.411,10,0.6151545210478887
60,600050.SSE,20191231,0.398,61,0.6000019465399793
61,002230.SZE,20191231,0.385,62,0.5829549982481474
62,600999.SSE,20191231,0.379,41,0.15488353085410705
63,601009.SSE,20191231,0.378,40,0.1621919823464509
64,600019.SSE,20191231,0.371,21,0.5577506988168544
65,600570.SSE,20191231,0.362,62,0.5481291152359203
66,300015.SZE,20191231,0.356,35,0.3493621197252207
67,600406.SSE,20191231,0.355,27,0.5328893486905442
68,601006.SSE,20191231,0.354,50,0.5341406236955137
69,601939.SSE,20191231,0.352,40,0.15103592006865268
70,601390.SSE,20191231,0.351,23,0.531882241394275
71,601989.SSE,20191231,0.348,28,0.5133546587650882
72,600015.SSE,20191231,0.342,40,0.14674512688488417
73,601186.SSE,20191231,0.338,23,0.5121828991204129
74,000166.SZE,20191231,0.335,41,0.13690232938291785
75,000538.SZE,20191231,0.331,35,0.324828263002944
76,002241.SZE,20191231,0.328,60,0.3981272758800069
77,600703.SSE,20191231,0.326,60,0.39569967053927513
78,000776.SZE,20191231,0.326,41,0.13322435635472005
79,002594.SZE,20191231,0.313,30,0.4742594703378081
80,000876.SZE,20191231,0.305,37,0.4600639569155895
81,601336.SSE,20191231,0.297,41,0.12137310993052716
82,600741.SSE,20191231,0.297,30,0.45001617472948563
83,002044.SZE,20191231,0.296,35,0.29048086359175657
84,300142.SZE,20191231,0.289,35,0.28361138370951905
85,603986.SSE,20191231,0.286,60,0.3471475637246401
86,600958.SSE,20191231,0.279,41,0.11401716387413159
87,600352.SSE,20191231,0.273,22,0.4020924230522063
88,002024.SZE,20191231,0.273,31,0.44195737186117
89,601225.SSE,20191231,0.261,11,0.38679075827445347
90,002236.SZE,20191231,0.26,60,0.3155886942951274
91,601901.SSE,20191231,0.259,41,0.10584389047813648
92,600588.SSE,20191231,0.258,62,0.3906555572675897
93,300003.SZE,20191231,0.256,35,0.25122669283611376
94,300136.SZE,20191231,0.255,61,0.38442335770777564
95,601155.SSE,20191231,0.254,42,0.36837776386476084
96,000157.SZE,20191231,0.251,26,0.3788826827598979
97,600340.SSE,20191231,0.251,42,0.36402684539391716
98,002008.SZE,20191231,0.248,60,0.3010230622507369
99,600346.SSE,20191231,0.246,10,0.368194676831583
100,600547.SSE,20191231,0.246,12,0.37273029047796236
101,600660.SSE,20191231,0.244,30,0.3697102580269175
102,601669.SSE,20191231,0.241,23,0.3651954990769808
103,601377.SSE,20191231,0.241,41,0.0984879444217409
104,300347.SZE,20191231,0.24,35,0.23552502453385665
105,600436.SSE,20191231,0.24,35,0.23552502453385665
106,002202.SZE,20191231,0.239,27,0.3587621248930706
107,002352.SZE,20191231,0.238,50,0.3591114927670403
108,601138.SSE,20191231,0.237,61,0.3572875912813444
109,600383.SSE,20191231,0.237,42,0.3437225591966469
110,000069.SZE,20191231,0.232,42,0.3364710284119075
111,300124.SZE,20191231,0.231,26,0.348692827559906
112,600886.SSE,20191231,0.226,20,0.34249559345807234
113,601985.SSE,20191231,0.226,20,0.34249559345807234
114,600029.SSE,20191231,0.224,50,0.3379872873101556
115,002736.SZE,20191231,0.224,41,0.09154066203514508
116,603993.SSE,20191231,0.223,12,0.3378815234820553
117,600010.SSE,20191231,0.218,21,0.32773491197324595
118,002001.SZE,20191231,0.218,35,0.21393523061825315
119,002456.SZE,20191231,0.215,60,0.26096757412866306
120,002007.SZE,20191231,0.215,35,0.21099116781157992
121,601111.SSE,20191231,0.21,50,0.3168630818532709
122,000895.SZE,20191231,0.21,36,0.1510325696085482
123,601877.SSE,20191231,0.209,27,0.3137292221868274
124,601933.SSE,20191231,0.209,31,0.33834831765195794
125,601108.SSE,20191231,0.207,41,0.08459337964854924
126,002311.SZE,20191231,0.206,37,0.3107317217200375
127,002555.SZE,20191231,0.206,63,0.3080258297259592
128,603160.SSE,20191231,0.205,60,0.2488295474250043
129,000783.SZE,20191231,0.2,41,0.08173273395995095
130,600795.SSE,20191231,0.2,20,0.3030934455381171
131,002602.SZE,20191231,0.198,63,0.2960636615812618
132,002466.SZE,20191231,0.195,12,0.29545693757399455
133,300144.SZE,20191231,0.195,32,0.2927106276880137
134,600196.SSE,20191231,0.194,35,0.19038272816486748
135,600018.SSE,20191231,0.194,50,0.29272113275968836
136,002460.SZE,20191231,0.193,12,0.2924266100091331
137,600705.SSE,20191231,0.189,41,0.07723743359215365
138,600115.SSE,20191231,0.189,50,0.2851767736679438
139,600271.SSE,20191231,0.188,62,0.2846637394042902
140,000938.SZE,20191231,0.187,62,0.2831495705776716
141,600061.SSE,20191231,0.186,41,0.07601144258275438
142,000425.SZE,20191231,0.186,26,0.2807656533599243
143,601788.SSE,20191231,0.186,41,0.07601144258275438
144,600438.SSE,20191231,0.185,27,0.2777029000218329
145,603799.SSE,20191231,0.185,12,0.28030529974968715
146,600606.SSE,20191231,0.184,42,0.26685633287840943
147,603501.SSE,20191231,0.18,60,0.21848448066585743
148,600089.SSE,20191231,0.179,27,0.26869631948058426
149,601997.SSE,20191231,0.179,40,0.07680519798945691
150,600011.SSE,20191231,0.178,20,0.2697531665289242
151,600177.SSE,20191231,0.177,42,0.25670418977977427
152,002050.SZE,20191231,0.174,33,0.2323097463284379
153,601555.SSE,20191231,0.174,41,0.07110747854515732
154,600183.SSE,20191231,0.173,60,0.2099878619732963
155,300122.SZE,20191231,0.173,35,0.16977428851815501
156,600111.SSE,20191231,0.171,12,0.2590930067956568
157,600809.SSE,20191231,0.17,36,0.12226446111168189
158,002493.SZE,20191231,0.17,10,0.25444347585922406
159,002271.SZE,20191231,0.17,24,0.2521244679924506
160,300033.SZE,20191231,0.17,62,0.257408700525156
161,300408.SZE,20191231,0.169,60,0.20513265129183283
162,601600.SSE,20191231,0.168,12,0.25454751544836457
163,002410.SZE,20191231,0.167,62,0.2528661940453003
164,002624.SZE,20191231,0.166,63,0.248214989002472
165,600176.SSE,20191231,0.166,24,0.2461921275690988
166,000768.SZE,20191231,0.164,28,0.24192575872837496
167,600109.SSE,20191231,0.163,41,0.06661217817736002
