,SecurityID,ZXF
0,000001.SZE,40
1,000002.SZE,42
2,000004.SZE,35
3,000005.SZE,20
4,000006.SZE,42
5,000007.SZE,42
6,000008.SZE,26
7,000009.SZE,70
8,000010.SZE,23
9,000011.SZE,42
10,000012.SZE,24
11,000014.SZE,42
12,000016.SZE,33
13,000017.SZE,26
14,000018.SZE,23
15,000019.SZE,36
16,000020.SZE,60
17,000021.SZE,60
18,000023.SZE,24
19,000025.SZE,70
20,000026.SZE,31
21,000027.SZE,20
22,000028.SZE,35
23,000029.SZE,42
24,000030.SZE,30
25,000031.SZE,42
26,000032.SZE,61
27,000034.SZE,62
28,000035.SZE,20
29,000036.SZE,42
30,000037.SZE,20
31,000038.SZE,63
32,000039.SZE,26
33,000040.SZE,20
34,000042.SZE,42
35,000045.SZE,60
36,000046.SZE,42
37,000048.SZE,37
38,000049.SZE,60
39,000050.SZE,60
40,000055.SZE,24
41,000056.SZE,42
42,000058.SZE,42
43,000059.SZE,10
44,000060.SZE,12
45,000061.SZE,37
46,000062.SZE,42
47,000063.SZE,61
48,000065.SZE,23
49,000066.SZE,62
50,000068.SZE,20
51,000069.SZE,42
52,000070.SZE,61
53,000078.SZE,35
54,000088.SZE,50
55,000089.SZE,50
56,000090.SZE,23
57,000096.SZE,10
58,000099.SZE,50
59,000100.SZE,60
60,000150.SZE,35
61,000151.SZE,31
62,000153.SZE,35
63,000155.SZE,31
64,000156.SZE,63
65,000157.SZE,26
66,000158.SZE,62
67,000159.SZE,10
68,000166.SZE,41
69,000301.SZE,10
70,000333.SZE,33
71,000338.SZE,30
72,000400.SZE,27
73,000401.SZE,24
74,000402.SZE,42
75,000403.SZE,35
76,000404.SZE,33
77,000407.SZE,20
78,000408.SZE,22
79,000409.SZE,70
80,000410.SZE,26
81,000411.SZE,35
82,000413.SZE,60
83,000415.SZE,41
84,000416.SZE,41
85,000417.SZE,31
86,000419.SZE,31
87,000420.SZE,22
88,000421.SZE,20
89,000422.SZE,22
90,000423.SZE,35
91,000425.SZE,26
92,000426.SZE,12
93,000428.SZE,32
94,000429.SZE,50
95,000430.SZE,32
96,000488.SZE,25
97,000498.SZE,23
98,000501.SZE,31
99,000502.SZE,42
100,000503.SZE,35
101,000504.SZE,70
102,000505.SZE,36
103,000506.SZE,42
104,000507.SZE,50
105,000509.SZE,24
106,000510.SZE,22
107,000513.SZE,35
108,000514.SZE,42
109,000516.SZE,35
110,000517.SZE,42
111,000518.SZE,35
112,000519.SZE,28
113,000520.SZE,50
114,000521.SZE,33
115,000523.SZE,22
116,000524.SZE,32
117,000525.SZE,22
118,000526.SZE,70
119,000528.SZE,26
120,000529.SZE,70
121,000530.SZE,26
122,000531.SZE,20
123,000532.SZE,60
124,000533.SZE,33
125,000534.SZE,42
126,000536.SZE,60
127,000537.SZE,42
128,000538.SZE,35
129,000539.SZE,20
130,000540.SZE,42
131,000541.SZE,33
132,000543.SZE,20
133,000544.SZE,20
134,000545.SZE,22
135,000546.SZE,24
136,000547.SZE,28
137,000548.SZE,50
138,000550.SZE,30
139,000551.SZE,27
140,000552.SZE,11
141,000553.SZE,22
142,000554.SZE,10
143,000555.SZE,62
144,000557.SZE,50
145,000558.SZE,42
146,000559.SZE,30
147,000560.SZE,31
